GOPs	GOP/s	M	K	N
0.033554432	100.0036718	256	256	256
0.067108864	330.2796622	512	256	256
0.134217728	582.878693	256	1024	256
0.268435456	871.4050557	256	2048	256
0.536870912	1194.713761	512	2048	256
1.073741824	1434.20291	2048	1024	256
2.147483648	1454.804124	512	512	4096
4.294967296	1507.418625	4096	2048	256
8.589934592	1723.955251	256	4096	4096
17.17986918	1854.100116	2048	4096	1024
34.35973837	2006.525249	1024	4096	4096
68.71947674	1987.134327	2048	4096	4096
137.4389535	2011.750231	4096	4096	4096
